businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
"ROGERS, AR",WM Supercenter,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,1,Yes,,Yes,Not Available
"TUNKHANNOCK, PA",WM Supercenter,808 HUNTER HWY,TUNKHANNOCK,WYOMING,PA,18657-8071,2024,No,Available,No,Available
TAHLEQUAH OK,WM Supercenter,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,10,No,,No,Available
"TRACY, CA",WM Supercenter,3010 W GRANT LINE RD,TRACY,SAN JOAQUIN,CA,95304-9402,2025,No,Not Available,No,Not Available
"BENTONVILLE, AR",WM Supercenter,406 S WALTON BLVD,BENTONVILLE,BENTON,AR,72712-5705,100,No,Not Available,No,Not Available
PONCE-PR,WM Supercenter,3305 AVE.BARAMAYA SUITE 100,PONCE,PONCE,PR,00728-0000,2026,,,Yes,
BROWNSVILLE TX,WM Supercenter,2721 BOCA CHICA BLVD,BROWNSVILLE,CAMERON,TX,78521-3501,1000,Yes,,Yes,Available
"LAVALE, MD",WM Supercenter,12500 COUNTRY CLUB MALL RD,LAVALE,ALLEGANY,MD,21502-7553,2027,Yes,Available,Yes,Available
"PUEBLO, CO",WM Supercenter,4080 W NORTHERN AVE,PUEBLO,PUEBLO,CO,81005-3503,1001,Yes,Available,Yes,Available
"RIVERSIDE (S), CA",WM Supercenter,5200 VAN BUREN BLVD,RIVERSIDE,RIVERSIDE,CA,92503-2544,2028,No,,Yes,
LINTON IN,WM Supercenter,2251 E STATE HIGHWAY 54,LINTON,GREENE,IN,47441-9498,1002,Yes,,Yes,
PLANO IL,WM Supercenter,6800 W US HIGHWAY 34,PLANO,KENDALL,IL,60545-9603,1003,No,,No,Available
BROOKFIELD MO,WM Supercenter,937 PARK CIRCLE DR,BROOKFIELD,LINN,MO,64628-7920,203,No,,Yes,
BRADENTON FL,WM Supercenter,5315 CORTEZ RD W,BRADENTON,MANATEE,FL,34210-2814,1004,No,Available,No,Available
"SONORA, CA",WM Supercenter,1101 SANGUINETTI ROAD,SONORA,TUOLUMNE,CA,95370-6214,2030,No,,No,Available
WAVERLY IA,WM Supercenter,2700 4TH ST SW,WAVERLY,BREMER,IA,50677-4351,1005,Yes,Available,Yes,Available
"UNION CITY, CA",Wal-Mart,30600 DYER ST,UNION CITY,ALAMEDA,CA,94587-1717,2031,Yes,,Yes,
CORDELE GA,WM Supercenter,1215 E 16TH AVE,CORDELE,CRISP,GA,31015-1543,1006,No,,Yes,
"OXNARD, CA",WM Supercenter,2001 N ROSE AVE,OXNARD,VENTURA,CA,93036-2681,2032,No,,No,
RICHLAND CENTER WI,WM Supercenter,2401 US HWY 14 E,RICHLAND CENTER,RICHLAND,WI,53581-2996,1007,No,,No,
MANDAN BISMARCK ND,WM Supercenter,1000 OLD RED TRL NW,MANDAN,MORTON,ND,58554-1591,2033,No,,No,Available
"LOVELAND (N), CO",WM Supercenter,250 W 65TH ST,LOVELAND,LARIMER,CO,80538-4668,1008,Yes,Available,Yes,Available
REPUBLIC MO,WM Supercenter,1150 US HIGHWAY 60 E,REPUBLIC,GREENE,MO,65738-1580,1009,No,Available,Yes,Available
ROLLA MO,WM Supercenter,500 S BISHOP AVE,ROLLA,PHELPS,MO,65401-4313,101,Yes,Available,Yes,Available
ROCKINGHAM NC,WM Supercenter,720 E US HIGHWAY 74,ROCKINGHAM,RICHMOND,NC,28379-7206,1010,No,Available,Yes,Available
RINCON GA,WM Supercenter,434 S COLUMBIA AVE,RINCON,EFFINGHAM,GA,31326-9079,1011,Yes,Available,Yes,Available
BEAVER DAM WI,WM Supercenter,120 FRANCES LN,BEAVER DAM,DODGE,WI,53916-1165,1012,No,,Yes,Available
CLINTON IN,Wal-Mart,1795 E STATE ROAD 163,CLINTON,VERMILLION,IN,47842-7327,1013,No,,Yes,
INDEPENDENCE MO,WM Supercenter,4000 S BOLGER RD,INDEPENDENCE,JACKSON,MO,64055-6776,1014,No,Available,No,Available
"EL PASO, TX",WM Supercenter,7555 N MESA ST,EL PASO,EL PASO,TX,79912-3505,1015,No,Available,No,Available
THIBODAUX LA,WM Supercenter,410 N CANAL BLVD,THIBODAUX,LAFOURCHE,LA,70301-2956,1016,No,Not Available,No,Not Available
MANNING SC,WM Supercenter,2010 PAXVILLE HWY,MANNING,CLARENDON,SC,29102-6434,1017,No,,Yes,Available
EASTMAN GA,WM Supercenter,1099 INDIAN DR,EASTMAN,DODGE,GA,31023-7663,1018,No,Not Available,No,Not Available
CANON CITY CO,WM Supercenter,3105 E US HIGHWAY 50,CANON CITY,FREMONT,CO,81212-2797,1019,Yes,,Yes,Available
STUTTGART AR,WM Supercenter,406 E 22ND ST,STUTTGART,ARKANSAS,AR,72160-9006,102,Yes,,Yes,
ALBERT LEA MN,WM Supercenter,1550 BLAKE AVE,ALBERT LEA,FREEBORN,MN,56007-6304,1020,No,,Yes,Available
WARRENTON MO,WM Supercenter,500 WARREN COUNTY CTR,WARRENTON,WARREN,MO,63383-3023,1021,No,,Yes,Available
TYLER (W) TX,WM Supercenter,3820 STATE HIGHWAY 64 W,TYLER,SMITH,TX,75704-6924,1022,No,Not Available,Yes,Not Available
GALAX VA,WM Supercenter,1140 E STUART DR,GALAX,GALAX CITY,VA,24333-2630,1023,No,Not Available,No,Not Available
SWAINSBORO GA,WM Supercenter,414 S MAIN ST,SWAINSBORO,EMANUEL,GA,30401-3676,1024,Yes,Available,Yes,Available
MCCOMB MS,WM Supercenter,1608 VETERANS BLVD,MCCOMB,PIKE,MS,39648-2031,1025,No,Not Available,Yes,Not Available
BEDFORD IN,WM Supercenter,3200 JOHN WILLIAMS BLVD,BEDFORD,LAWRENCE,IN,47421-9153,1026,No,,Yes,Not Available
CONCORD NC,WM Supercenter,150 CONCORD COMMONS PL SW,CONCORD,CABARRUS,NC,28027-5026,1027,No,,Yes,Available
"EAST PEORIA, IL",WM Supercenter,401 RIVER RD,EAST PEORIA,TAZEWELL,IL,61611-2063,1028,Yes,Available,Yes,Available
HOMOSASSA FL,WM Supercenter,6885 S SUNCOAST BLVD,HOMOSASSA,CITRUS,FL,34446-3404,1029,No,,No,Available
SHAWNEE OK,WM Supercenter,196 SHAWNEE MALL DR,SHAWNEE,POTTAWATOMIE,OK,74804-1337,103,No,,Yes,Available
LANCASTER SC,WM Supercenter,805 HWY 9 BYPASS WES,LANCASTER,LANCASTER,SC,29720-4773,1030,Yes,Not Available,Yes,Not Available
PANAMA CITY FL,WM Supercenter,2101 S HIGHWAY 77,LYNN HAVEN,BAY,FL,32444-4631,1032,Yes,Available,Yes,Available
SEYMOUR IN,WM Supercenter,1600 E TIPTON ST,SEYMOUR,JACKSON,IN,47274-3560,1033,No,,Yes,Available
SHELBY NC,WM Supercenter,705 E DIXON BLVD,SHELBY,CLEVELAND,NC,28152-6821,1034,No,Not Available,Yes,Not Available
SPARTANBURG SC,WM Supercenter,141 DORMAN CENTRE DR,SPARTANBURG,SPARTANBURG,SC,29301-2625,1035,No,Not Available,No,Available
"FOREST CITY, NC",WM Supercenter,197 PLAZA DR,FOREST CITY,RUTHERFORD,NC,28043-3712,1036,Yes,,Yes,Available
SUMMERVILLE SC,WM Supercenter,1317 N MAIN ST STE A1,SUMMERVILLE,BERKELEY,SC,29483-7342,1037,Yes,Available,Yes,Available
WASECA MN,WM Supercenter,2103 STATE ST N,WASECA,WASECA,MN,56093-2605,1038,Yes,Available,Yes,Available
MOUNT AIRY NC,WM Supercenter,2241 ROCKFORD ST,MOUNT AIRY,SURRY,NC,27030-5262,1039,No,,No,Available
MILAN TN,WM Supercenter,15427 S FIRST ST,MILAN,GIBSON,TN,38358-6475,104,No,,Yes,Not Available
HOUSTON (SPENCER) TX,WM Supercenter,15955 FM 529 RD,HOUSTON,HARRIS,TX,77095-2513,1040,No,Available,No,Available
WESLACO TX,WM Supercenter,1310 N TEXAS BLVD,WESLACO,HIDALGO,TX,78599-0000,1041,No,,Yes,Available
BASTROP TX,WM Supercenter,488 HIGHWAY 71 W,BASTROP,BASTROP,TX,78602-3731,1042,Yes,Available,Yes,Available
PAULS VALLEY OK,WM Supercenter,2008 W GRANT AVE,PAULS VALLEY,GARVIN,OK,73075-9230,1043,No,,No,
